sector,price,built_up_area,estimated_annual_rent,Annual_Cashflow,ROI (%)
sector 36,0.82,850.0,147600.0,-634318.0,-37.05
sector 89,0.95,1226.0,171000.00000000003,-744083.0,-37.34
sohna road,0.32,1000.0,57600.00000000001,-288763.0,-40.71
sector 92,1.6,1615.0,288000.00000000006,-1221336.0,-36.74
sector 102,0.48,582.0,86400.00000000001,-381581.0,-37.69
gwal pahari,7.5,4842.0,1350000.0000000002,-5538743.0,-35.97
sector 108,2.0,2116.0,360000.00000000006,-1527589.0,-36.75
sector 102,1.9,1710.0,342000.00000000006,-1437550.0,-36.53
sector 105,1.2,1185.51,216000.00000000003,-918517.0,-36.8
sector 26,4.5,1350.0,810000.0000000001,-3254596.0,-35.49
sector 109,1.55,2360.0,279000.00000000006,-1221821.0,-37.49
sector 28,1.6,1222.0,288000.00000000006,-1202472.0,-36.38
sector 109,2.25,2339.0,405000.00000000006,-1714670.0,-36.7
sector 65,2.77,2194.0,498600.00000000006,-2074576.0,-36.3
sector 12,1.2,846.0,216000.00000000003,-902220.0,-36.39
sector 92,1.55,1805.0,279000.00000000006,-1195181.0,-36.97
sector 85,1.09,1638.0,196200.00000000003,-862630.0,-37.58
sector 70a,1.15,1400.0,207000.00000000003,-893537.0,-37.15
sector 85,1.77,2179.0,318600.00000000006,-1368345.0,-37.03
sector 30,0.85,734.0,153000.00000000003,-649916.0,-36.78
sector 107,0.9,1236.0,162000.00000000003,-709287.0,-37.48
sector 3,1.2,1307.0,216000.00000000003,-924348.0,-36.95
sector 2,0.6,665.0,108000.00000000001,-470226.0,-37.35
sector 41,9.0,3240.0,1620000.0000000002,-6520113.0,-35.53
sector 41,7.0,2475.0,1260000.0000000002,-5072372.0,-35.54
sector 28,0.9,1382.0,162000.00000000003,-716295.0,-37.71
sector 4,0.4,450.0,72000.00000000001,-318804.0,-37.75
sector 109,5.65,5400.0,1017000.0000000001,-4260333.0,-36.45
sector 62,2.15,1676.0,387000.00000000006,-1612295.0,-36.33
sector 49,4.4,2880.0,792000.0000000001,-3257485.0,-36.03
sector 81,0.64,1361.0,115200.00000000001,-531855.0,-38.73
sector 65,2.86,2267.0,514800.00000000006,-2141575.0,-36.29
sector 66,3.5,2125.0,630000.0000000001,-2586286.0,-35.99
sector 89,0.7,1297.0,126000.00000000001,-571113.0,-38.3
sector 86,1.54,1780.0,277200.00000000006,-1186926.0,-36.96
sector 48,8.25,2160.0,1485000.0000000002,-5939140.0,-35.39
sector 109,6.1,2430.0,1098000.0000000002,-4435253.0,-35.61
sector 51,2.1,2300.0,378000.00000000006,-1606972.0,-36.79
sector 37,1.25,1563.0,225000.00000000003,-971912.0,-37.17
sector 111,0.7,773.0,126000.00000000001,-545961.0,-37.24
sector 67,2.8,2047.0,504000.00000000006,-2088685.0,-36.2
sector 28,5.5,1800.0,990000.0000000001,-3981707.0,-35.51
sector 111,2.58,2200.0,464400.00000000006,-1940817.0,-36.4
sector 113,3.0,2460.0,540000.0000000001,-2249611.0,-36.32
sector 13,1.25,115.0,225000.00000000003,-902408.0,-35.45
sector 61,2.1,1534.0,378000.00000000006,-1570204.0,-36.26
sector 113,2.45,2014.0,441000.00000000006,-1840172.0,-36.36
sector 69,1.38,1709.0,248400.0,-1070636.0,-37.12
sector 89,1.71,1423.0,307800.00000000006,-1289727.0,-36.46
sector 67a,1.85,1941.0,333000.00000000006,-1413362.0,-36.76
sector 37d,0.6,625.0,108000.00000000001,-468306.0,-37.26
sector 82,0.81,1176.0,145800.00000000003,-642911.0,-37.65
sector 53,5.6,2617.0,1008000.0000000001,-4091474.0,-35.73
sector 74,1.5,1300.0,270000.00000000006,-1135665.0,-36.55
sector 37d,1.45,1639.0,261000.00000000003,-1116662.0,-36.94
sector 108,1.65,1771.32,297000.00000000006,-1264115.0,-36.82
sector 52,0.45,513.0,81000.00000000001,-357104.0,-37.64
sector 12,0.35,737.0,63000.00000000001,-297305.0,-39.25
sector 43,5.75,2430.0,1035000.0000000001,-4188324.0,-35.66
sector 85,1.12,1485.0,201600.00000000006,-876452.0,-37.32
sector 36,0.75,856.0,135000.00000000003,-585221.0,-37.25
sector 89,0.25,430.0,45000.00000000001,-212018.0,-39.22
sector 4,0.67,783.0,120600.00000000001,-525276.0,-37.36
sector 2,0.56,723.0,100800.00000000003,-444790.0,-37.67
sector 70a,1.75,1706.0,315000.00000000006,-1331531.0,-36.66
sector 14,4.15,2250.0,747000.0000000001,-3050868.0,-35.87
sector 67,3.4,2134.0,612000.0000000001,-2516167.0,-36.02
sector 81,2.3,1617.0,414000.00000000006,-1715290.0,-36.2
sector 25,7.6,1961.0,1368000.0000000002,-5471006.0,-35.39
sector 95,0.32,610.0,57600.00000000001,-270043.0,-39.1
sector 102,0.45,750.0,81000.00000000001,-368480.0,-38.38
sector 56,2.99,1449.0,538200.0000000001,-2194028.0,-35.82
sector 109,1.5,1797.0,270000.00000000006,-1159521.0,-37.03
sector 41,2.65,1400.0,477000.00000000006,-1951802.0,-35.91
sector 3,1.5,1980.0,270000.00000000006,-1168305.0,-37.21
sector 86,1.5,1719.0,270000.00000000006,-1155777.0,-36.96
sector 48,9.3,3831.0,1674000.0000000002,-6760134.0,-35.61
sector 83,1.19,1630.0,214200.00000000003,-932797.0,-37.36
sector 107,0.5,850.0,90000.00000000001,-408555.0,-38.33
sector 104,1.4,1120.0,252000.00000000003,-1056474.0,-36.47
sector 88a,1.0,1611.0,180000.00000000003,-797838.0,-37.77
sohna road,1.3,1509.0,234000.00000000003,-1004595.0,-37.02
sector 85,0.9,1402.0,162000.00000000003,-717255.0,-37.74
sector 105,0.5,100.0,90000.00000000001,-372555.0,-36.18
sector 83,1.15,1350.0,207000.00000000003,-891137.0,-37.09
sector 69,1.36,1428.0,244800.00000000006,-1043038.0,-36.85
sector 102,1.4,1286.0,252000.00000000003,-1064442.0,-36.65
sector 55,2.8,1500.0,504000.00000000006,-2062429.0,-35.91
sector 50,10.45,3240.0,1881000.0000000002,-7543103.0,-35.45
sector 84,0.34,537.0,61200.000000000015,-280650.0,-38.57
sector 84,0.39,549.0,70200.00000000001,-316501.0,-38.17
sector 4,1.1,990.0,198000.00000000003,-838581.0,-36.71
sohna road,0.35,521.0,63000.00000000001,-286937.0,-38.41
sector 91,1.75,2107.0,315000.00000000006,-1350779.0,-37.0
sector 49,2.1,1604.25,378000.00000000006,-1573576.0,-36.31
sector 48,3.65,2395.0,657000.0000000001,-2705073.0,-36.05
sohna road,0.95,1175.97,171000.00000000003,-741681.0,-37.26
