sector,price,bedRoom,built_up_area,estimated_annual_rent,Annual_Cashflow,ROI (%)
sector 36,0.82,3.0,850.0,147600.0,-634318.0,-37.05
sector 89,0.95,2.0,1226.0,171000.00000000003,-744083.0,-37.34
sohna road,0.32,2.0,1000.0,57600.00000000001,-288763.0,-40.71
sector 92,1.6,3.0,1615.0,288000.00000000006,-1221336.0,-36.74
sector 102,0.48,2.0,582.0,86400.00000000001,-381581.0,-37.69
gwal pahari,7.5,4.0,4842.0,1350000.0000000002,-5538743.0,-35.97
sector 108,2.0,3.0,2116.0,360000.00000000006,-1527589.0,-36.75
sector 102,1.9,3.0,1710.0,342000.00000000006,-1437550.0,-36.53
sector 105,1.2,3.0,1185.51,216000.00000000003,-918517.0,-36.8
sector 26,4.5,3.0,1350.0,810000.0000000001,-3254596.0,-35.49
sector 109,1.55,3.0,2360.0,279000.00000000006,-1221821.0,-37.49
sector 28,1.6,2.0,1222.0,288000.00000000006,-1202472.0,-36.38
sector 109,2.25,3.0,2339.0,405000.00000000006,-1714670.0,-36.7
sector 65,2.77,4.0,2194.0,498600.00000000006,-2074576.0,-36.3
sector 12,1.2,2.0,846.0,216000.00000000003,-902220.0,-36.39
sector 92,1.55,3.0,1805.0,279000.00000000006,-1195181.0,-36.97
sector 85,1.09,2.0,1638.0,196200.00000000003,-862630.0,-37.58
sector 70a,1.15,2.0,1400.0,207000.00000000003,-893537.0,-37.15
sector 85,1.77,3.0,2179.0,318600.00000000006,-1368345.0,-37.03
sector 30,0.85,2.0,734.0,153000.00000000003,-649916.0,-36.78
sector 107,0.9,2.0,1236.0,162000.00000000003,-709287.0,-37.48
sector 3,1.2,2.0,1307.0,216000.00000000003,-924348.0,-36.95
sector 2,0.6,1.0,665.0,108000.00000000001,-470226.0,-37.35
sector 41,9.0,8.0,3240.0,1620000.0000000002,-6520113.0,-35.53
sector 41,7.0,7.0,2475.0,1260000.0000000002,-5072372.0,-35.54
sector 28,0.9,4.0,1382.0,162000.00000000003,-716295.0,-37.71
sector 4,0.4,1.0,450.0,72000.00000000001,-318804.0,-37.75
sector 109,5.65,4.0,5400.0,1017000.0000000001,-4260333.0,-36.45
sector 62,2.15,2.0,1676.0,387000.00000000006,-1612295.0,-36.33
sector 49,4.4,6.0,2880.0,792000.0000000001,-3257485.0,-36.03
sector 81,0.64,2.0,1361.0,115200.00000000001,-531855.0,-38.73
sector 65,2.86,3.0,2267.0,514800.00000000006,-2141575.0,-36.29
sector 66,3.5,3.0,2125.0,630000.0000000001,-2586286.0,-35.99
sector 89,0.7,2.0,1297.0,126000.00000000001,-571113.0,-38.3
sector 86,1.54,3.0,1780.0,277200.00000000006,-1186926.0,-36.96
sector 48,8.25,4.0,2160.0,1485000.0000000002,-5939140.0,-35.39
sector 109,6.1,5.0,2430.0,1098000.0000000002,-4435253.0,-35.61
sector 51,2.1,4.0,2300.0,378000.00000000006,-1606972.0,-36.79
sector 37,1.25,3.0,1563.0,225000.00000000003,-971912.0,-37.17
sector 111,0.7,2.0,773.0,126000.00000000001,-545961.0,-37.24
sector 67,2.8,3.0,2047.0,504000.00000000006,-2088685.0,-36.2
sector 28,5.5,4.0,1800.0,990000.0000000001,-3981707.0,-35.51
sector 111,2.58,3.0,2200.0,464400.00000000006,-1940817.0,-36.4
sector 113,3.0,3.0,2460.0,540000.0000000001,-2249611.0,-36.32
sector 13,1.25,3.0,115.0,225000.00000000003,-902408.0,-35.45
sector 61,2.1,3.0,1534.0,378000.00000000006,-1570204.0,-36.26
sector 113,2.45,3.0,2014.0,441000.00000000006,-1840172.0,-36.36
sector 69,1.38,3.0,1709.0,248400.0,-1070636.0,-37.12
sector 89,1.71,3.0,1423.0,307800.00000000006,-1289727.0,-36.46
sector 67a,1.85,3.0,1941.0,333000.00000000006,-1413362.0,-36.76
sector 37d,0.6,2.0,625.0,108000.00000000001,-468306.0,-37.26
sector 82,0.81,2.0,1176.0,145800.00000000003,-642911.0,-37.65
sector 53,5.6,3.0,2617.0,1008000.0000000001,-4091474.0,-35.73
sector 74,1.5,2.0,1300.0,270000.00000000006,-1135665.0,-36.55
sector 37d,1.45,3.0,1639.0,261000.00000000003,-1116662.0,-36.94
sector 108,1.65,3.0,1771.32,297000.00000000006,-1264115.0,-36.82
sector 52,0.45,1.0,513.0,81000.00000000001,-357104.0,-37.64
sector 12,0.35,2.0,737.0,63000.00000000001,-297305.0,-39.25
sector 43,5.75,4.0,2430.0,1035000.0000000001,-4188324.0,-35.66
sector 85,1.12,2.0,1485.0,201600.00000000006,-876452.0,-37.32
sector 36,0.75,2.0,856.0,135000.00000000003,-585221.0,-37.25
sector 89,0.25,1.0,430.0,45000.00000000001,-212018.0,-39.22
sector 4,0.67,3.0,783.0,120600.00000000001,-525276.0,-37.36
sector 2,0.56,1.0,723.0,100800.00000000003,-444790.0,-37.67
sector 70a,1.75,3.0,1706.0,315000.00000000006,-1331531.0,-36.66
sector 14,4.15,5.0,2250.0,747000.0000000001,-3050868.0,-35.87
sector 67,3.4,3.0,2134.0,612000.0000000001,-2516167.0,-36.02
sector 81,2.3,3.0,1617.0,414000.00000000006,-1715290.0,-36.2
sector 25,7.6,2.0,1961.0,1368000.0000000002,-5471006.0,-35.39
sector 95,0.32,2.0,610.0,57600.00000000001,-270043.0,-39.1
sector 102,0.45,1.0,750.0,81000.00000000001,-368480.0,-38.38
sector 56,2.99,4.0,1449.0,538200.0000000001,-2194028.0,-35.82
sector 109,1.5,3.0,1797.0,270000.00000000006,-1159521.0,-37.03
sector 41,2.65,3.0,1400.0,477000.00000000006,-1951802.0,-35.91
sector 3,1.5,7.0,1980.0,270000.00000000006,-1168305.0,-37.21
sector 86,1.5,3.0,1719.0,270000.00000000006,-1155777.0,-36.96
sector 48,9.3,4.0,3831.0,1674000.0000000002,-6760134.0,-35.61
sector 83,1.19,2.0,1630.0,214200.00000000003,-932797.0,-37.36
sector 107,0.5,3.0,850.0,90000.00000000001,-408555.0,-38.33
sector 104,1.4,3.0,1120.0,252000.00000000003,-1056474.0,-36.47
sector 88a,1.0,2.0,1611.0,180000.00000000003,-797838.0,-37.77
sohna road,1.3,3.0,1509.0,234000.00000000003,-1004595.0,-37.02
sector 85,0.9,3.0,1402.0,162000.00000000003,-717255.0,-37.74
sector 105,0.5,2.0,100.0,90000.00000000001,-372555.0,-36.18
sector 83,1.15,3.0,1350.0,207000.00000000003,-891137.0,-37.09
sector 69,1.36,3.0,1428.0,244800.00000000006,-1043038.0,-36.85
sector 102,1.4,2.0,1286.0,252000.00000000003,-1064442.0,-36.65
sector 55,2.8,4.0,1500.0,504000.00000000006,-2062429.0,-35.91
sector 50,10.45,5.0,3240.0,1881000.0000000002,-7543103.0,-35.45
sector 84,0.34,2.0,537.0,61200.000000000015,-280650.0,-38.57
sector 84,0.39,2.0,549.0,70200.00000000001,-316501.0,-38.17
sector 4,1.1,3.0,990.0,198000.00000000003,-838581.0,-36.71
sohna road,0.35,2.0,521.0,63000.00000000001,-286937.0,-38.41
sector 91,1.75,4.0,2107.0,315000.00000000006,-1350779.0,-37.0
sector 49,2.1,3.0,1604.25,378000.00000000006,-1573576.0,-36.31
sector 48,3.65,3.0,2395.0,657000.0000000001,-2705073.0,-36.05
sohna road,0.95,2.0,1175.97,171000.00000000003,-741681.0,-37.26
sector 69,1.29,3.0,1419.0,232200.00000000003,-993220.0,-36.94
sector 76,0.75,2.0,745.0,135000.00000000003,-579893.0,-37.04
sector 82a,1.85,3.0,1668.0,333000.00000000006,-1400258.0,-36.54
sector 78,0.7,2.0,1224.0,126000.00000000001,-567609.0,-38.15
sector 95,0.32,2.0,610.0,57600.00000000001,-270043.0,-39.1
manesar,0.85,3.0,2556.0,153000.00000000003,-737372.0,-39.76
sector 93,1.25,4.0,2105.0,225000.00000000003,-997928.0,-37.79
sector 7,0.54,2.0,1000.0,97200.00000000001,-443976.0,-38.48
sector 71,0.79,2.0,1084.0,142200.00000000003,-624385.0,-37.55
sector 25,10.0,5.0,9500.0,1800000.0000000002,-7526103.0,-36.41
sector 56,1.71,3.0,2251.0,307800.00000000006,-1329471.0,-37.16
sector 110,1.4,3.0,1550.0,252000.00000000003,-1077114.0,-36.92
sector 67,3.65,3.0,2490.0,657000.0000000001,-2709633.0,-36.09
sector 107,0.6,3.0,750.0,108000.00000000001,-474306.0,-37.55
sector 69,1.44,3.0,1381.0,259200.00000000003,-1097223.0,-36.7
sector 113,2.37,4.0,2060.0,426600.00000000006,-1785939.0,-36.44
sector 104,0.2,1.0,334.0,36000.00000000001,-172134.0,-39.57
sector 33,1.5,2.0,1539.0,270000.00000000006,-1147137.0,-36.78
sector 113,1.83,2.0,1310.0,329400.00000000006,-1368964.0,-36.27
sector 4,3.2,3.0,2250.0,576000.0000000001,-2380633.0,-36.14
sector 88a,0.5,3.0,663.0,90000.00000000001,-399579.0,-37.81
sector 41,3.4,4.0,2900.0,612000.0000000001,-2552935.0,-36.36
sector 102,4.55,4.0,4630.0,819000.0000000001,-3447312.0,-36.56
sector 49,1.72,3.0,2444.0,309600.00000000006,-1345790.0,-37.31
sector 61,2.2,3.0,1778.0,396000.00000000006,-1652467.0,-36.36
sector 82,0.63,2.0,1026.0,113400.00000000001,-508719.0,-38.05
sector 37,1.4,3.0,1890.0,252000.00000000003,-1093434.0,-37.27
sector 70,1.13,3.0,1457.0,203400.0,-882163.0,-37.26
sector 104,1.95,3.0,920.0,351000.00000000006,-1434905.0,-35.89
sector 70,1.75,3.0,1950.0,315000.00000000006,-1343243.0,-36.87
sector 103,2.45,4.0,2602.0,441000.00000000006,-1868396.0,-36.72
sector 82,4.7,3.0,2160.0,846000.0000000001,-3434578.0,-35.73
sector 28,0.7,2.0,864.0,126000.00000000001,-550329.0,-37.43
sector 89,1.3,3.0,1179.0,234000.00000000003,-988755.0,-36.65
sector 109,6.5,4.0,5400.0,1170000.0000000002,-4860017.0,-36.26
sector 37d,0.55,2.0,543.0,99000.00000000001,-429095.0,-37.25
sohna road,0.9,3.0,1014.0,162000.00000000003,-698631.0,-37.13
sector 107,1.15,2.0,1281.0,207000.00000000003,-887825.0,-37.0
sector 66,3.5,3.0,2150.0,630000.0000000001,-2587486.0,-36.0
sector 90,1.78,4.0,2000.0,320400.00000000006,-1366808.0,-36.87
sector 43,2.5,3.0,1674.0,450000.00000000006,-1859128.0,-36.13
sector 38,3.9,6.0,1836.0,702000.0000000001,-2854618.0,-35.77
sector 3,0.55,2.0,810.0,99000.00000000001,-441911.0,-37.94
sector 37d,1.67,4.0,2091.0,300600.00000000006,-1293570.0,-37.08
sector 90,0.65,2.0,1050.0,117000.00000000001,-523982.0,-38.01
sector 65,5.5,3.0,2803.0,990000.0000000001,-4029851.0,-35.79
sector 90,2.05,4.0,2005.0,369000.00000000006,-1557536.0,-36.63
sector 51,2.25,6.0,900.0,405000.00000000006,-1645598.0,-35.75
sector 33,11.0,5.0,4125.0,1980000.0000000002,-7973613.0,-35.54
sector 102,1.41,2.0,1238.0,253800.00000000003,-1069194.0,-36.58
sector 79,1.65,3.0,1815.0,297000.00000000006,-1266212.0,-36.86
sector 83,0.98,2.0,1300.0,176400.00000000003,-768800.0,-37.37
sector 14,2.2,3.0,1956.0,396000.00000000006,-1661011.0,-36.48
sector 86,1.5,3.0,1550.0,270000.00000000006,-1147665.0,-36.79
sector 103,4.35,4.0,3222.0,783000.0000000001,-3238626.0,-36.16
sector 69,1.3,3.0,1419.0,234000.00000000003,-1000275.0,-36.92
sector 71,1.1,3.0,1631.0,198000.00000000003,-869349.0,-37.55
